"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Gm29055",27.4844995784652,1.18077090694715,0.867876333814433,1.36052898430529,0.173662587240121,0.38653186748266
"Gm29083",1.33213314718753,1.11282952184463,2.93142363524153,0.379620846494586,0.70422688401004,NA
"Gm29112",13.2518807621535,-2.31248189793515,1.32411583921298,-1.746434737394,0.0807354382019256,0.232195265717132
"Gm2916",134.897933708717,-1.08761488187356,0.38678475479897,-2.81193834136208,0.00492439420542985,0.0298087031631618
"Gm29170",173.455710599299,-0.379011110170393,0.387591094732012,-0.977863308320973,0.328141934453129,0.572284997027517
"Gm29264",5.80055370783888,2.21817036427766,1.21564363652262,1.82468800694156,0.0680481241012977,NA
"Gm29291",231.897449778324,-0.503907341451251,0.197210736636121,-2.55517194472542,0.0106135354569658,0.0533089124176297
"Gm29336",5.88020575303812,0.856775477976479,1.02018549710943,0.83982322862268,0.40100750740246,NA
"Gm29340",22.5544840683307,1.05861829209056,1.13453859903732,0.933082658438255,0.350777292104076,0.594539824106928
"Gm29361",6.71425559207341,-0.114025806522854,1.14450632335269,-0.0996288130491313,0.92063901811992,0.967150567865303
"Gm29367",38.5800847763978,-1.31397660687135,0.910201646960526,-1.44361044748618,0.148848584459346,0.350968404713338
"Gm29394",18.5925893912347,0.422333725583362,0.825176581547573,0.511810120436645,0.608783906679957,0.801509683892858
"Gm29395",44.1473886340801,0.383098552726952,0.500611325808451,0.765261457295787,0.444115870154752,0.680382265429035
"Gm29439",6.24648673371757,2.14270207352426,1.05771161505734,2.02579043571162,0.0427862644553971,0.148572496465061
"Gm29488",122.182949197017,-0.371521145637847,0.379745635184807,-0.978342109072678,0.327905149884122,0.572080239270617
"Gm29542",52.5511549565065,0.219827003219222,0.645432918590679,0.340588459137195,0.733413418816022,0.872905814882727
"Gm2956",90.9358186914026,-0.180548952949094,0.442588463442314,-0.407938678619955,0.683318695391915,0.846055690074319
"Gm29666",11.9404000240488,0.651003752584529,1.4558296785339,0.447170271484042,0.654752124346401,0.828087431261084
"Gm29811",6.94967506585888,0.949458790152945,1.4876357823835,0.638233364239004,0.523321781565893,0.740001945500473
"Gm29927",0.779912416699704,2.02205867905514,4.2731962735508,0.473195835063976,0.636073468930531,NA
"Gm2a",13876.2255554899,0.438443409423734,0.101717590931161,4.31039907070213,1.62960193646663e-05,0.000280483989270149
"Gm3002",48.387058491358,-0.975622491301969,0.453631541240651,-2.15069368552661,0.0315003851010369,0.119987830521222
"Gm30042",32.3320589102465,0.562317026744413,0.761409151093162,0.738521497853144,0.460197608363821,0.693685163905803
"Gm3005",45.598194067912,-0.38152858080968,0.557253725064043,-0.684658645872367,0.493559350423141,0.718840296597162
"Gm30054",4.95517749257928,-0.975502417466026,1.03034969985819,-0.946768284205146,0.34375686638491,NA
"Gm30082",7.7735901608788,1.02292559196774,0.872122914116047,1.1729144773183,0.240830103312405,0.475000003708845
"Gm30122",1.56376114182476,-2.49792417997018,3.99347984398755,-0.625500635424759,0.531642531499563,NA
"Gm30124",2.8635224715605,-1.48984027696146,1.67239757034797,-0.890840971893705,0.37301449117726,NA
"Gm3020",91.5154941196045,-0.106413114208588,0.454160485439121,-0.234307293611638,0.814746424028864,0.915684832638643
"Gm30329",439.930581332417,-0.376616562475639,0.225912255120243,-1.66709221806131,0.0954960692953091,0.259981989261219
"Gm30411",22.0881520664774,0.314298762683379,0.747758540340347,0.420321194245838,0.67425082898918,0.840259793204473
"Gm30541",115.623613416785,-0.753703580984015,0.406919906342814,-1.85221604850427,0.063994805161487,0.19779676062822
"Gm3055",359.211983087516,-0.386619550199324,0.240130101679642,-1.6100420042928,0.107388686668809,0.281829616530708
"Gm30794",22.374951903318,-1.29353206629939,0.88639134915906,-1.45932388388785,0.144475984734121,0.344256975886811
"Gm30881",2.94180039576493,0.641329825611565,1.27962103685606,0.501187310258096,0.616239304205477,NA
"Gm30934",6.29698337195678,0.557650930866544,0.989430572693978,0.563607944060387,0.573020979210588,0.775127652265493
"Gm3095",14.7446536530717,-0.260455268433268,0.76965560924204,-0.338404950611307,0.735058043929842,0.873694175811034
"Gm31105",3.82304951483367,1.76177112768812,1.52715477217746,1.15362971703002,0.248652009601905,NA
"Gm31243",14.2308883828219,0.0906057697640505,0.661034276669243,0.137066674092282,0.890978094026935,0.952946327812139
"Gm31305",5.99457382350616,1.66964435263076,1.25630782450418,1.32900895788794,0.183845014528555,NA
"Gm31356",6.7797956547848,-0.460907794078625,1.54162363153268,-0.298975563588365,0.764958690704427,0.889400461755546
"Gm31410",52.9958216861585,3.61484455578193,1.0466791419677,3.45363197835989,0.00055309159496693,0.00529703721808329
"Gm31597",15.3269871778185,0.522046511514035,0.640255716414334,0.815371886779374,0.414859471503271,0.654634189252415
"Gm3164",78.6894918238567,-0.236761551946148,0.427411949748484,-0.553942284686877,0.57961834528006,0.780273370834843
"Gm31683",4.99530668402643,-1.9926900396538,0.897456988213648,-2.22037386284123,0.0263933997635932,NA
"Gm31718",17.9379126132686,0.100144584560605,0.956367722405467,0.104713471831442,0.91660317175882,0.965497315338381
"Gm3173",5.61411478375536,0.017485287139551,1.13254915170406,0.0154388770794117,0.987682047693127,NA
"Gm31763",15.3588587703376,-0.907356145667072,0.826648427788743,-1.0976324579655,0.272365013695653,0.514275468755291
"Gm31812",6.89328352650876,1.39054555490204,1.62137831854995,0.857631768596517,0.391095827157999,0.632699426946724
"Gm31834",13.4328135944688,0.522283006184607,1.11143963980294,0.469915762836396,0.638415202052758,0.819163508182542
"Gm3194",28.1858431763494,0.00605974946941193,0.634755547672774,0.00954658764563618,0.992383040807599,0.99766602767851
"Gm32031",16.2344647010065,0.0723886658214027,0.615342413791534,0.117639649403278,0.906353187375475,0.960065627943302
"Gm32036",57.2281221007886,-0.292452678400564,0.38953299015666,-0.750777689671284,0.452786458429343,0.687596684956551
"Gm3227",3.20253865685636,1.10253911686156,2.48460400883852,0.443748425479261,0.657224480028645,NA
"Gm32312",17.1106344119038,0.189718490855653,1.40808454655283,0.13473515586838,0.892821276254508,0.95385640096075
"Gm3235",12.2607543008351,-0.483344155642872,0.838144231154234,-0.576683746874025,0.564153113883119,0.769341431137598
"Gm3239",46.443572518286,-0.58262442704753,0.598726715348841,-0.973105779500871,0.330500731898142,0.574754061386549
"Gm32401",2.06767476911732,4.99232542349612,2.95168703770766,1.69134646042057,0.0907706514010254,NA
"Gm3248",90.4039156348192,-0.541660827257952,0.678279062280113,-0.798581081711556,0.42453336094729,0.663368462295219
"Gm3252",103.303924625785,0.151028606357568,0.520411732927827,0.290209841173034,0.771655707875485,0.892893289365153
"Gm32591",91.4675572147137,1.00518540744902,0.480506121099194,2.09193049434955,0.036444733754775,0.133155345730511
"Gm32633",5.4047003660152,0.173733120609744,1.23972408241694,0.140138538142324,0.888550531981438,NA
"Gm3264",21.8931204156236,0.241188113273946,0.500494941926929,0.48189920230834,0.629877552808647,0.814878254347583
"Gm32687",339.800781855761,-0.323336771564841,0.299208216480183,-1.0806413519271,0.279856680584614,0.522310466504815
"Gm32849",17.9868764880484,-0.93334180356591,0.678192416014943,-1.37621975935712,0.168753606411805,0.379384365320168
"Gm32856",40.613233553021,-0.62282475574167,0.623763555003371,-0.998494943710368,0.318039415095134,0.563658920657391
"Gm33023",22.8242092152074,1.05241183834081,0.774675041382438,1.35852038870743,0.174298617507648,0.387497241509292
"Gm33280",7.47094095456544,-0.636162939703061,1.95816598190354,-0.324876923397803,0.745274222810439,0.878319133290179
"Gm33370",19.0467251450528,0.3619181811715,0.462942057357543,0.781778573407905,0.434344715353502,0.67210946899675
"Gm33699",516.378412957185,0.129737646771032,0.181624991447398,0.714316051646488,0.475031768765688,0.705934901623692
"Gm3383",32.6530025507235,-0.44889907166268,0.548429591979122,-0.818517232162354,0.413061906438267,0.652833445410268
"Gm33858",574.22216703131,1.0729833514946,0.287496441535614,3.73216219916823,0.000189843189725981,0.00218866507983315
"Gm3411",5.78616676365835,0.819852534612353,0.828485607373831,0.989579694946249,0.322379598762062,NA
"Gm34121",32.2341858405928,-0.736462455584694,1.10241095407754,-0.668047113338909,0.504103519210723,0.726789630243802
"Gm34280",113.211166075285,-0.442578156714715,0.366611927913769,-1.2072115580997,0.227350680385619,0.460476920950165
"Gm3435",98.9881661127125,-0.240752269767609,0.447048916735493,-0.538536747892525,0.590206542188467,0.788510294705358
"Gm34455",9.43196608952974,1.09087435314606,0.902027866133678,1.20935770845066,0.226525448978993,0.459727332992428
"Gm3448",52.8356546701011,-0.946396245047327,0.63936186404807,-1.48022004167608,0.138814533572101,0.335355903808059
